Name,Gender,Time_400,Time_800,Time_1200,Time_1400,Time_Finish,Ranking
Gabriela Debues-Stafford,Female,01:03.1,02:07.3,03:09.9,03:41.6,03:58.9,5
Elinor Purrier St. Pierre,Female,01:03.4,02:08.6,03:13.9,03:46.2,04:01.7,10
Linden Hall,Female,01:03.8,02:08.9,03:11.8,03:43.3,03:59.0,6
Winnie Nanyondo,Female,01:03.6,02:08.4,03:13.0,03:44.0,03:59.8,7
Nozomi Tanaka,Female,01:03.3,02:07.6,03:10.9,03:43.6,03:59.9,8
Jessica Hull,Female,01:03.5,02:08.5,03:12.4,03:45.9,04:02.6,11
Freweyni Gebreezibeher,Female,01:03.3,02:07.8,03:10.3,03:41.2,03:57.6,4
Marta Perez,Female,01:03.9,02:08.7,03:12.5,03:44.3,04:00.1,9
Laura Muir,Female,01:03.1,02:07.5,03:09.7,03:38.8,03:54.5,2
Faith Kipyegon,Female,01:03.0,02:07.1,03:09.5,03:37.8,03:53.1,1
Sifan Hassan,Female,01:02.9,02:07.0,03:09.4,03:39.1,03:55.8,3
Kristiina Maki,Female,01:04.1,02:09.2,03:16.5,03:52.9,04:11.7,13
Cory Ann McGee,Female,01:03.7,02:08.7,03:13.2,03:47.2,04:05.5,12
Timothy Cheruiyot,Male,00:56.4,01:51.8,02:47.3,03:14.9,03:29.0,2
Ignacio Fontes,Male,00:57.1,01:54.4,02:53.0,03:23.3,03:38.5,13
Abel Kipsang,Male,00:57.1,01:52.7,02:48.2,03:15.3,03:29.5,4
Charles Grethen,Male,00:57.5,01:54.0,02:51.6,03:21.1,03:36.8,12
Jake Heyward,Male,00:57.1,01:53.7,02:51.3,03:20.1,03:34.4,9
Jakob Ingebrigtsen,Male,00:56.2,01:52.0,02:47.5,03:14.7,03:28.3,1
Oliver Hoare,Male,00:56.4,01:53.0,02:51.1,03:21.3,03:35.7,11
Josh Kerr,Male,00:57.3,01:53.2,02:48.4,03:15.4,03:29.1,3
Stewart McSweyn,Male,00:56.6,01:52.3,02:48.4,03:17.2,03:31.9,7
Adel Mechaal,Male,00:57.4,01:53.4,02:48.7,03:16.4,03:30.7,5
Jake Wightman,Male,00:56.9,01:52.5,02:49.7,03:19.9,03:35.0,10
Cole Hocker,Male,00:57.4,01:53.8,02:50.3,03:17.5,03:31.4,6
Michal Rozmys,Male,00:56.5,01:53.2,02:50.0,03:18.1,03:32.6,8
