Team,Fifa_rank,Ranking_points
Argentina,3,1773.88
Australia,38,1488.72
Belgium,2,1816.71
Brazil,1,1841.3
Cameroon,43,1471.44
Canada,41,1475
Costa Rica,31,1503.59
Croatia,12,1645.64
Denmark,10,1666.57
Ecuador,44,1464.39
England,5,1728.47
France,4,1759.78
Germany,11,1650.21
Ghana,61,1393
Iran,20,1564.61
Japan,24,1559.54
Mexico,13,1644.89
Morocco,22,1563.5
Netherlands,8,1694.51
Poland,26,1548.59
Portugal,9,1676.56
Qatar,50,1439.89
Saudi Arabia,51,1437.78
Senegal,18,1584.38
Serbia,21,1563.62
South Korea,28,1530.3
Spain,7,1715.22
Switzerland,15,1635.92
Tunisia,30,1507.54
United States,16,1627.48
Uruguay,14,1638.71
Wales,19,1569.82
